Source URI	Relationship	Target URI
https://usaybia.net/person/1441	father of	https://usaybia.net/person/609
https://usaybia.net/person/1444	teacher of	https://usaybia.net/person/762
https://usaybia.net/person/1451	brother of	https://usaybia.net/person/1981
https://usaybia.net/person/1454	son of	https://usaybia.net/person/1981
https://usaybia.net/person/1459	son of	https://usaybia.net/person/2382
https://usaybia.net/person/1460	son of	https://usaybia.net/person/2382
https://usaybia.net/person/1461	son of	https://usaybia.net/person/1475
https://usaybia.net/person/1462	son of	https://usaybia.net/person/2382
https://usaybia.net/person/1468	supporter of	https://usaybia.net/person/465
https://usaybia.net/person/1477	son of	https://usaybia.net/person/1471
https://usaybia.net/person/1478	son of	https://usaybia.net/person/1487
https://usaybia.net/person/1481	son of	https://usaybia.net/person/1493
https://usaybia.net/person/1501	under	https://usaybia.net/person/841
https://usaybia.net/person/1503	chamberlain of	https://usaybia.net/person/814
https://usaybia.net/person/1513	pupil of	https://usaybia.net/person/799
https://usaybia.net/person/1514	teacher of	https://usaybia.net/person/2139
https://usaybia.net/person/1524	sister of	https://usaybia.net/person/1337
https://usaybia.net/person/1530	son of	https://usaybia.net/person/2326
https://usaybia.net/person/1531	service of	https://usaybia.net/person/841
https://usaybia.net/person/1533	courtier of	https://usaybia.net/person/841
https://usaybia.net/person/1535	physician at	https://usaybia.net/person/841
https://usaybia.net/person/1537	`ghulām` of 	https://usaybia.net/person/1692
https://usaybia.net/person/1538	companion of	https://usaybia.net/person/841
https://usaybia.net/person/1539	associate of	https://usaybia.net/person/1700
https://usaybia.net/person/1544	pupil of	https://usaybia.net/person/1557
https://usaybia.net/person/1556	disciple of	https://usaybia.net/person/886
https://usaybia.net/person/1562	mother of	https://usaybia.net/person/113
https://usaybia.net/person/1563	brother of	https://usaybia.net/person/2208
https://usaybia.net/person/1566	son-in-law of	https://usaybia.net/person/1337
https://usaybia.net/person/1567	physician to	https://usaybia.net/person/1497
https://usaybia.net/person/1575	pupil of	https://usaybia.net/person/886
https://usaybia.net/person/1577	pupil of	https://usaybia.net/person/799
https://usaybia.net/person/1583	son of	https://usaybia.net/person/1108
https://usaybia.net/person/1586	teacher of	https://usaybia.net/person/1086
https://usaybia.net/person/1591	`mawlā` (client) of	https://usaybia.net/person/1436
https://usaybia.net/person/1594	teacher of	https://usaybia.net/person/926
https://usaybia.net/person/1598	son of	https://usaybia.net/person/1383
https://usaybia.net/person/1600	son of	https://usaybia.net/person/1702
https://usaybia.net/person/1601	son of	https://usaybia.net/person/1755
https://usaybia.net/person/1604	son of	https://usaybia.net/person/1064
https://usaybia.net/person/1605	under	https://usaybia.net/person/1702
https://usaybia.net/person/1608	grandson of	https://usaybia.net/person/841
https://usaybia.net/person/1615	source of	https://usaybia.net/person/2182
https://usaybia.net/person/1618	quoted by	https://usaybia.net/person/1073
